婉约与豪放,词内容
婉约,"思往事,轻衾各自寒。渡江干。青蛾低映越山看。共眠一舸听秋雨，小簟"
婉约,落花如梦凄迷，麝烟微，又是夕归潜下小楼西。愁无限，消瘦尽，有谁知？闲教玉笼鹦鹉念郎诗。
豪放,老夫聊发少年狂。左牵黄，右擎苍。锦帽貂裘，千骑卷平冈。为报倾城随太守，亲射虎，看孙郎。酒酣胸胆尚开张。鬓微霜，又何妨。持节云中，何日遣冯唐？会挽雕弓如满月，西北望，射天狼。
婉约,梧桐雨细，渐滴做秋声，被风惊碎。润逼衣篝，线袅蕙炉沉水。悠悠岁月天涯醉，一分秋，一分憔悴。紫萧吹断，素恨切，夜寒鸿起。又何苦凄凉客里，负草堂春绿，竹溪空翠。落叶西风，吹老几番尘世。从前谙尽江湖味，听商歌，归兴千里。露侵宿酒，疏帘淡月，照人无寐。
豪放,万里一飞蓬，吟老丹枫。潮生潮落海门东。三两点鸥沙外月，闲意谁同？一色与天通，绝去尘红。渔歌忽断荻花风。烟水自流心不竞，长笛霜空。
婉约,野店几杯空酒，醉里两眉长皱，已是不成眠，那更酒醒时候，知否，知否？直是为他消瘦。
婉约,折花枝，恨花枝，准拟花开人共卮，开时人去时。怕相思，已相思，轮到相思没处辞，眉间露一丝。
婉约,立春春已归来，看美人头上，袅袅春幡。无端风雨，未肯收尽余寒。年时燕子，料今宵、梦到西园。浑未辨，黄柑荐酒，更传青斐堆盘。却笑东风，从此便熏梅染柳，更没些闲。闲时又来镜里，转变朱颜。清愁不断，问何人、会解连环。生怕见，花开花落，朝来塞雁先还。
豪放,西塞山前白鹭飞，桃花流水鳜鱼肥。  青箸笠，绿蓑衣，斜风细雨不须归。
豪放,水天空阔，恨东风、不借世间英物。蜀鸟吴花残照里，忍见荒城颓壁。铜雀春情，金人秋泪，此恨凭谁雪？堂堂剑气，斗牛空认奇杰。那信江海余生，南行万里，属扁舟齐发，正为鸥盟留醉眼，细看涛生云灭。睨柱吞嬴，回旗走懿，千古冲冠发。伴人无寐，秦淮应是孤月。
婉约,人自怜春春未去，萱草石榴，也解留春住。只道送春无送处，山花落得红成路。高处莺啼低蝶舞。何况日长，燕子能言语。付与光相客主，晴云又卷西边雨。
婉约,离恨做成春夜雨，添得春江，刬地东流去。弱柳系船都不住，为君愁绝听鸣橹。君到南徐芳草渡，想得寻春，依旧当年路。后夜独怜回首处，乱山遮莫无重数。
婉约,无聊笑捻花枝说，处处鹃啼血。好花须映好楼台，休傍秦关蜀栈战场开。倚楼极目添愁绪，更对东风语：好风休簸战旗红，早送鲥鱼如雪过江东。
豪放,束缊宵行十里强。挑得诗囊，抛了衣囊。天寒路滑马蹄僵，元是王郎，来送刘郎。  酒酣耳热说文章。惊倒邻墙，推倒胡床。旁观拍手笑疏狂。疏又何妨，狂又何妨？
豪放,我志在寥阔，畴昔梦登天。摩娑素月，人世俯仰已千年。有客骖鸾并凤，云遇青山赤壁，相约上高寒。酌酒援北斗，我亦虱其间  少歌曰：“神甚放，形如眠。鸿鹄一再高举，天地睹方圆。”欲重歌兮梦觉，推枕惘然独念，人事底亏全？有美人可语，秋水隔婵娟。
婉约,好梦最难留，吹过仙洲，寻思依样到心头。去也无踪寻也惯，一桁红楼。中有话绸缪，灯火帘钩，是仙是幻是温柔。独自凄凉还自遣，自制离愁。
豪放,云间皓月。光照银淮来万折。海岱楼中。拂袖雄披楚岸风。  醉余清夜。羽扇纶巾人入画。江远淮长。举首宗英醒更狂。
婉约,画堂红袖倚清酣。华发不胜簪。几回晚直金銮殿，东风软、花里停骖。书诏许传宫烛，轻罗初试朝衫。御沟冰泮水按蓝。飞燕语呢喃。重重帘幕寒犹在，凭谁寄、银字泥缄。报道先生归也，杏花春雨江南。
婉约,月桂霜林寒欲坠。正门外，催人起。奈离别、如今真个是：欲住也、留无计；欲去也、来无计。马上离魂衣上泪。各自个、供憔悴。问江路梅花开也未。春到也、须频寄；人到也、须频寄。
豪放,自入闽关，形势山川，天开两边。见长溪漱玉，千瓶倒建；群峰泼黛，万马回旋。石磴盘空，天梯架壑，驿骑蹒跚鞭不前。心无那，恰鹏鹉声里，又听啼鹃。区区仕宦谁怜。道有志、从来铁石坚。但长存一片，忠肝义胆，何愁半点，瘴雨蛮烟。尽卷南溟，不供杯杓，得遂斯游岂偶然。天公意，要淋漓醉墨，海外流传。
婉约,楝花飘砌，簌簌清香细。梅雨过，・风起。情随湘水远，梦绕吴峰翠。琴书倦，鹧鸪唤起南窗睡。密意无人寄，幽恨凭谁说。修竹畔，疏帘里，歌余尘拂，舞罢风掀袂。人散后，一钩新月天如水。
婉约,日烘晴，风弄晓，芍药荼醾，是处摆怀抱。倦枕深杯消不了，人惜春，我道春归好。絮从抛，莺任老，拼作无情，不为多情恼。日影渐斜人悄悄，凭暖栏杆，目断游丝袅。
豪放,暮雨初收，长川静、征帆夜落。临岛屿、蓼烟疏淡，苇风萧索。几许渔人飞短艇，尽载灯火归村落。遣行客、当此念回程，伤漂泊。  桐江好，烟漠漠。波似染，山如削。绕严陵滩畔，鹭飞鱼跃。游宦区区成底事，平生况有云泉约。归去来、一曲仲宣吟，从军乐。
婉约,大风雨，过马当山雨骤风驰帆似舞，一舟轻度溪湾。人家临水有无间。江豚吹浪立，沙鸟得鱼闲。绝代才人天亦喜，借他只手回澜。而今无复旧词坛。马当山下路，空见野云还。
豪放,年年跃马长安市，客舍似家家似寄。青钱换酒日无何，红烛呼卢宵不寐。  易挑锦妇机中字，难得玉人心下事。男儿西北有神州，莫滴水西桥畔泪。
豪放,醉里且贪欢笑，要愁那得工夫。近来始觉古人书，信着全无是处。昨夜松边醉倒，问松我醉何如？只疑松动要来扶，以手推松曰去！
婉约,凌波不过横塘路，目送，芳尘去。锦瑟华年谁与度？月台花榭，琐窗朱户，只有春知处。飞云冉冉蘅皋暮，彩笔新题断肠句。试问闲愁都几许！一川烟草，满城风絮，梅子黄时雨。
豪放,馆娃宫外邺城西，远映征帆近拂堤。  系得王孙归意切，不同芳草绿萋萋。
婉约,离肠宛转，瘦觉妆痕浅。飞去飞来双语燕。消息知郎近远。楼前小雨珊珊，海棠帘幕轻寒。杜宇一声春去，树头无数青山。
婉约,作风老莺雏，雨肥梅子，午嘉树清圆。地卑山近，衣润费炉烟。人静乌莺自乐，小桥外、新绿溅溅。凭栏久，黄芦苦竹，拟泛九江船。年年，如社燕，飘流瀚海，来寄修椽。且莫思身外，长近尊前。憔悴江南倦客，不堪听、急管繁弦。歌筵畔，先安簟枕，容我醉时眠。
豪放,知音者少，算乾坤许大，著身何处。直待功成方肯退，何日可寻归路。多景楼前，垂虹亭下，一枕眠秋雨。虚名相误，十年枉费辛苦。  不是奏赋明光，上书北阙，无惊人之语。我自匆忙天未许，赢得衣裾尘土。白璧追欢，黄金买笑，付与君为主。纯鲈江上，浩然明日归去。
婉约,做冷欺花，将烟困柳，千里偷催春暮。尽日冥迷，愁里欲飞还住。惊粉重、蝶宿西园，喜泥润、燕归南浦。最妨它、佳约风流，钿车不到杜陵路。沉沉江上望极，还被春潮晚急，难寻官渡。隐约遥峰，和泪谢娘眉妩。临断岸、新绿生时，是落红、带愁流处。记当日、门掩梨花，剪灯深夜语。
豪放,"春未老,风细柳斜斜。试上超然台上看,半壕春水一城花。烟雨暗千家。寒食后,酒醒却咨嗟。休对故人思故国,且将新火试新茶。诗酒趁年华。"
豪放,万顷太湖上，朝暮浸寒光。吴王去后，台榭千古锁悲凉。谁信蓬山仙子，天与经纶才器，等闲厌名缰。敛翼下霄汉，雅意在沧浪。  晚秋里，烟寂静，雨微凉。危亭好景，佳树修竹绕回塘。不用移舟酌酒，自有青山渌水，掩映似潇湘。莫问平生意，别有好思量。
豪放,轻舟短棹西湖好，绿水逶迤。芳草长堤。隐隐笙歌处处随。无风水面琉璃滑，不觉船移。微动涟漪。惊起沙禽掠岸飞。
豪放,清溪咽，霜风洗出山头月。山头月，迎得云归，还送云别。不知今是何时节？凌敲望断音尘绝。音尘绝，帆来帆去，天际双阙。
婉约,晴川落日初低，惆怅孤舟解携。鸟向平芜远近，人随流水东西。白云千里万里，明月前溪后溪。独恨长沙谪去，江潭春草萋萋
豪放,当年万里觅封侯，匹马戍梁川。关河梦断何处？尘暗旧貂裘。胡未灭，鬓先秋，泪空流，此生谁料，心在天山，身老沧州。
婉约,暄风迟日春光闹。蒲萄水绿摇轻棹。两岸草烟低。青山啼子规。归来愁未寝。黛浅眉痕沁。花影转廊腰。红添酒面潮。
婉约,茅舍槿篱溪曲，鸡犬自南自北。菰叶长，水茨开，门外春波涨绿。听织，声促，轧轧鸣梭穿屋。
婉约,梦冷黄金屋。叹秦筝、斜鸿阵里，素弦尘扑。化作娇莺飞归去，犹认纱窗旧绿。正过雨、荆桃如菽。此恨难平君知否，似琼台、涌起弹棋局。消瘦影，嫌明烛。鸳楼碎泻东西玉。问芳踪、何时再展，翠钗难卜。待把宫眉横云样，描上生绡画幅。怕不是、新来妆束。彩红牙今都在，恨无人、解听开元曲。空掩袖，倚寒竹。
婉约,春云深宿虚坛，磬初残，步绕松双引出朱阑。吹不断，黄一线，是桑干，又是夕阳无语下苍山。
豪放,潇洒太湖岸，淡伫洞庭山。鱼龙隐处，烟雾深锁渺弥间。方念陶朱张翰，忽有扁舟急桨，撇浪载伊还。落日暴风雨，归路绕汀湾。丈夫志，当景盛，耻疏闲。壮年何事憔悴，华发改朱颜？拟借寒潭垂钓，又恐鸥鸟相猜，不肯傍青纶。刺棹穿芦荻，无语看波澜。
婉约,桃源仙子不须夸，闻道惟裁一片花。何似浣纱溪畔住，绿相间两三家。
豪放,劝君莫惜金缕衣，劝君须惜少年时。有花堪折君须折，莫待花残空折枝。
婉约,曾宴桃源深洞，一曲舞鸾歌凤。长记别伊时，和泪出门相送。如梦，如梦，月落花烟重。
豪放,松江蟹舍主人欢，菰饭纯羹亦共餐。  枫叶落，荻花干，醉宿渔舟不觉寒。
豪放,弓剑出榆塞，铅椠上蓬山。得之浑不费力，失亦匹如闲。未必古人皆是，未必今人俱错，世事沐猴冠。老子不分别，内外与中间。  酒须饮，诗可作，铗休弹。人生行乐，何自催得鬓毛斑？达则牙旗金甲，穷则蹇驴破帽，莫作两般看。世事只如此，自有识鸮鸾。
婉约,春来也，是何时？没人知。先到玉儿头上，袅花枝。十二画楼帘卷，红妆笑语参差。争向彩幡成队去，看朱衣。
婉约,半身屏外，睡觉唇红退，春思乱，芳心碎。空余簪髻玉，不见流苏带。试与问，今人秀整谁宜对？湘浦曾同会，手搴轻罗盖，疑是梦，今犹在。十分春易尽，一点情难改。多少事，却随恨远连云海。
豪放,晚妆初了明肌雪，春殿嫔娥鱼贯列。凤箫吹断水云闲，重按霓裳歌遍彻。临风谁更飘香屑，醉拍阑干情未切。归时休放烛花红，待踏马蹄清夜月。
豪放,一轮秋影转金波，飞镜又重磨。把酒问姮娥：被白发，欺人奈何！乘风好去，长空万里，直下看山河。斫去桂婆娑，人道是、清光更多。
婉约,寻寻觅觅，冷冷清清，凄凄惨惨戚戚。乍暖还寒时候，最难将息。三杯两盏淡酒，怎敌他、晚来风急。雁过也，最伤心，却是旧时相识。满地黄花堆积。憔悴损，如今有谁堪摘。守着窗儿，独自怎生得黑。梧桐更兼细雨，到黄昏、点点滴滴。这次第，怎一个、愁字了得。
婉约,萧条庭院，又斜风细雨，重门须闭。宠柳娇花寒食近，种种恼人天气。险韵诗成，扶头酒醒，别是闲滋味。征鸿过尽，万千心事难寄。楼上几日春寒，帘垂四面，玉栏于慵倚。被冷香消新梦觉，不许愁人不起。清露晨流，新桐初引，多少游春意。日高烟敛，更看今日晴未。
豪放,伊吕两衰翁，历遍穷通，一为钓叟一耕佣。若使当时身不遇，老了英雄。汤武偶相逢，风虎云龙，兴亡只在谈笑中。直至如今千载后，谁与争功？
婉约,薄罗衫子金泥凤，困纤腰怯铢衣重。笑迎移步小兰丛，亸金翘玉凤。娇多情脉脉，羞把同心捻弄。楚天云雨却相和，又入阳台梦
婉约,斜阳废苑朱门闭，吊兴亡、遗恨泪痕里。淡淡宫梅，也依然、点酥剪水。凝愁处，似忆宣华旧事。行人别有凄凉意。折幽香、谁与寄千里。伫立江皋，杳难逢、陇头归骑。音尘远，楚天危楼独倚。
豪放,老来情味减，对别酒，怯流年。况屈指中秋，十分好月，不照人圆。无情水都不管；共西风、只管送归船。秋晚纯鲈江上，夜深儿女灯前。  征衫，便好去朝天，玉殿正思贤。想夜半承明，留教视草，却遣筹边。长安故人问我，道愁肠殖酒只依然。目断秋霄落雁，醉来时响空弦。
婉约,月未到诚斋，先到万花川谷。不是诚斋无月，隔一林修竹。如今才是十三夜，月色已如玉。未是秋光奇绝，看十五十六。
豪放,  壮岁旌旗拥万夫，锦襜突骑渡江初。燕兵夜妮银胡最，汉箭朝飞金仆姑。  追往事，叹今吾，春风不染白髭须。却将万字平戎策，换得东家种树书。  
豪放,砧声送风急，蟋蟀思高秋。我来对景，不学宋玉解悲愁。收拾凄凉兴况，分付尊中藤醵，信觉不胜幽。自有多情处，明月挂南楼。怅襟怀，横玉笛，韵悠悠。清时良夜，借我此地倒金瓯。可爱一天风物，遍倚阑干十二，宇宙若萍浮。醉困不知醒，欹枕卧江流。
婉约,画桥流水，雨湿落红飞不起。月破黄昏，帘里余香马上闻。徘徊不语，今夜梦魂何处去？不似垂杨，犹解飞花入洞房。
婉约,小径红稀，芳郊绿遍。高台树色见。春风不解禁杨花，啰啰乱扑行人面。翠叶藏莺，珠帘隔燕。垆香静逐游丝轻。一场愁梦酒醒时，斜阳却照深深院。
豪放,菌萏香销翠叶残，西风愁起绿波间。还与韶光共憔悴，不堪看。  细雨梦回鸡塞远，小楼吹彻玉笙寒。多少泪珠何限恨，倚阑干。
婉约,一襟余恨宫魂断。年年翠庭树。乍咽凉柯，还移暗叶，重把离愁深诉。西窗过雨。怪瑶佩流空，玉筝调柱。镜暗妆，为谁娇鬓尚如许。铜仙铅泪似洗，叹移盘去远，难贮零露。病翼惊秋，枯形阅世，消得斜阳几度。余音更苦。甚独抱清商，顿成凄楚。漫想薰风，柳丝千万缕。
婉约,碧云天，黄叶地，秋色连波，波上寒烟翠。山映斜阳天接水。芳草无情，更在斜阳外。黯乡魂，追旅思。夜夜除非，好梦留人睡。明月楼高休独倚。酒入愁肠，化作相思泪。
豪放,长江千里。限南北、雪浪云涛无际。天险难逾，人谋克壮，索虏岂能吞噬。阿坚百万南牧，倏忽长驱吾地。破强敌，在谢公处画，从容颐指。  奇伟。淝水上，八千戈甲，结阵当蛇豕。鞭弭周旋，旌旗麾动，坐却北军风靡。夜闻数声鸣鹤，尽道王师将至。延晋祚，庇烝民，周雅何曾专美。
婉约,厚地高天，侧身颇觉平生左，小斋如舸，自许回旋可。聊复浮尘，得此须臾我。乾坤大，霜林独坐，红叶纷纷堕。
豪放,一醉年年今夜月，酒船聊更同浮。恨无羯鼓打梁州。遗声犹好在，风景一时留。  老去狂歌君勿笑，已拚双鬓成秋。会须击节溯中流。一声云外笛，惊看水明楼。
豪放,短棹钓船轻，江上晚烟笼碧。塞雁海鸥分路，占江天秋色。锦鳞拨剌满篮鱼，取酒价相敌。风顺片帆归去，有何人留得？
婉约,西城杨柳弄春柔，动离忧，泪难收。犹记多情，曾为系归舟。碧野朱桥当日事，人不见，水空流。韶华不为少年留，恨悠悠，几时休。飞絮落花时候、一登楼。便做春江都是泪，流不尽，许多愁。
豪放,三尺龙泉剑，匣里无人见。一张落雁弓，百只金花箭。  为国竭忠贞，苦处曾征战。先望立功勋，后见君王面。
婉约,画船摆鼓催君去，高楼把酒留君住。去住若为情，西江潮欲平。江潮容易得，只是人南北。今日此樽空，知君何日同？
婉约,愁与西风应有约，年年同赴清秋。旧游帘幕记扬州。一灯人著梦，双燕月当楼。罗带鸳鸯尘暗淡，更须整顿风流。天涯万一见温柔。瘦应因此瘦，羞亦为郎羞。
婉约,北郭清溪一带流，红桥风物眼中秋，绿杨城郭是扬州。西望雷塘何处是？香魂零落使人愁，淡烟芳草旧迷楼。
婉约,听风听雨过清明。愁草瘗花铭。楼前绿暗分携路，一丝柳，一寸柔情。料峭春寒中酒，交加晓梦啼莺。西园日日扫林亭。依旧赏新晴。黄蜂频扑秋千索，有当时、纤手香凝。惆怅双鸳不到，幽阶一夜苔生。
婉约,梦后楼台高锁，酒醒帘幕低垂。去年春恨却来时。落花人独立，微雨燕双飞。记得小・初见，两重心字罗衣。琵琶弦上说相思。当时明月在，曾照彩云归。
婉约,帘外雨潺潺，春意阑珊，罗衾不耐五更寒。梦里不知身是客，一晌贪欢。独自莫凭栏，无限江山，别时容易见时难。流水落花春去也，天上人间。
婉约,柳直，烟里丝丝弄碧。隋堤上，曾见几番，拂水飘绵送行色。登临望故国，谁识京华倦客。长亭路，年去岁来，应折柔条过千尺。闲寻旧踪迹。又酒趁哀弦，灯照离席。梨花榆火催寒食。愁一箭风快，半篙波暖，回头迢递便数驿，望人在天北。凄恻，恨堆积，渐别浦萦回，津堠岑寂，斜阳冉冉春无极。念月榭携手，露桥闻笛，沉思前事，似梦里，泪暗滴。
豪放,曾经沧海，又来沙漠，四千里外关河。骨相空谈，肠轮自转，回头十八年过。春梦醒来么？对春帆细雨，独自吟哦。唯有瓶花，数枝相伴不须多。  寒江才脱渔蓑。剩风尘面貌，自看如何？鉴不因人，形还问影，岂缘醉后颜酡？拔剑欲高歌。有几根侠骨，禁得揉搓？忽说此人是我，睁眼细瞧科。
婉约,绿槐烟柳长亭路，恨取次分离去。日永如年愁难度。高城回首，暮云遮尽，目断知何处。解鞍旅舍天将暮，暗忆丁宁千万句。一寸柔肠情几许？薄衾孤枕，梦回人静，侵晓潇潇雨。
婉约,栖乌飞绝。绛河绿雾星明灭。烧香曳簟眠清楹。花久影吹笙，满地淡黄月。好风碎竹声如雪。昭华三弄临风咽。鬓丝撩乱纶巾折。凉满北窗，休共软红说。
豪放,炎精中否？叹人材萎靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？  天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铠冷浸秋月。
婉约,阿房废址汉荒丘，狐兔又群游。豪华尽成春梦，留下古今愁。君莫上，古原头，泪难收。夕阳西下，塞雁南来，渭水东流！
豪放,把酒祝东风，且共从容。垂杨紫陌洛城东。总是当时携手处，游遍芳丛。  聚散苦匆匆，此恨无穷。今年花胜去年红。可惜明年花更好，知与谁同？
婉约,万顷风涛不记苏，雪晴江上麦千车。令人饱我愁无。翠袖倚风萦柳絮，绛唇得酒烂樱珠。尊前呵手镊霜须。
豪放,黄河九天上，人鬼瞰重关。长风怒卷高浪，飞洒日光寒。峻似吕梁千仞，壮似钱塘八月，直下洗尘寰。万象入横溃，依旧一峰闲。  仰危巢，双鹄过，杳难攀。人间此险何用，万古秘神奸。不用燃犀下照，未必佽飞强射，有力障狂澜。唤取骑鲸客，挝鼓过银山。
婉约,新绿小池塘，风帘动、碎影舞斜阳。羡金屋去来，旧时巢燕；土花缭绕，前度莓墙。绣阁里、凤帏深几许？听得理丝簧。欲说又休，虑乖芳信；未歌先噎，愁近清觞。遥知新妆了，开朱户、应自待月西厢。最苦梦魂，今宵不到伊行。问甚时说与，佳音密耗，寄将秦镜，偷换韩香？天便教人，霎时厮见何妨！
豪放,破虏行千里，三年意气矗。展旗遮日黑，驱马饮河枯。邻境求兵略，皇恩索阵图。元和太平乐，自古恐应无。
豪放,鸡禄山前游骑，边草白，朔天明，马蹄轻。  鹊面弓离短赣，弯来月欲成。一只鸣稿云外，晓鸿惊。
豪放,牛渚天门险，限南北、七雄豪占。清雾敛，与闲人登览。  待月上潮平波滟滟，塞管轻吹新《阿滥》。风满槛，历历数，西州更点。
婉约,十年生死两茫茫，不思量，自难忘。千里孤坟，无处话凄凉。纵使相逢应不识，尘满面，鬓如霜。夜来幽梦忽还乡。小轩窗，正梳妆。相顾无言，惟有泪千行。料得年年肠断处，明月夜，短松冈。
婉约,拨棹蓦山溪。月上瓜州杨柳枝。金盏玉人歌解佩。一片子。绿盖舞风轻簇水。
婉约,遥夜亭皋闲信步，才过清明，渐觉伤春暮。数点雨声风约住，朦胧淡月云来去。桃杏依稀香暗度，谁在秋千，笑里轻轻语？一寸相思千万缕，人间没个安排处。
豪放,燕南壮士吴门豪，筑中置铅鱼藏刀。  感君恩重许君命，太山一掷轻鸿毛。
豪放,"边草,边草,边草尽来兵老。山南山北雪晴,千里万里月明。明月,明月,胡笳一声愁绝。"
婉约,闹红深处层楼，画帘半卷东风软。春归翠陌，平莎茸嫩，垂杨金浅。迟日催花，淡云阁雨，轻寒轻暖。恨芳菲世界，游人未赏，都付与、莺和燕。寂寞凭高念远，向南楼一声归雁。金钗斗草，青丝勒马，风流云散。罗绶分香，翠绡封泪，几多幽怨？正销魂，又是疏烟淡月，子规声断。
婉约,楼角初销一缕霞，淡黄杨柳暗栖鸦，玉人和月摘梅花。笑捻粉香归洞户，更垂帘幕护窗纱，东风寒似夜来些。
婉约,槛菊愁烟兰泣露，罗幕轻寒，燕子双飞去。明月不谙离恨苦，斜光到晓穿朱户。昨夜西风凋碧树，独上高楼，望尽天涯路。欲寄彩兼尺素，山长水阔知何处？
婉约,丝丝香篆浓于雾，织就绿红雨。乳燕飞来傍莲幕，杨花欲雪，梨云如梦，又是清明暮。屏山遮断相思路，子规啼到无声处。鳞瞑羽迷谁与诉。好段东风，好轮明月，尽教封侯误。
豪放,晴髻离离，太行山势如蝌蚪。稗花盈亩，一寸霜皮厚。  赵魏燕韩，历历堪回首。悲风吼，临洛驿口，黄叶中原走。
豪放,大江东去，浪淘尽，千古风流人物。故垒西边，人道是：三国周郎赤壁。乱石穿空，惊涛拍岸，卷起千堆雪。江山如画，一时多少豪杰。  遥想公瑾当年，小乔初嫁了，雄姿英发。羽扇纶巾，谈笑间樯橹灰飞烟灭。故国神游，多情应笑我，早生华发。人生如梦，一尊还酹江月。
豪放,送胡邦衡谪新州梦绕神州路。怅秋风、连营画角，故宫离黍。底事昆仑倾砥柱，九地黄流乱注？聚万落千村狐兔。天意从来高难问，况人情、老易悲难
婉约,尊前一曲歌，歌里千重意。才欲歌时泪已流，恨更多于泪！试问缘何事，不语浑如醉。我亦情多不忍闻，怕我成憔悴。
豪放,昨夜风兼雨，帏飒飒秋声。烛残漏断频欹枕，起坐不能平。世事漫随流水，算来一梦浮生。醉乡路稳宜频到，此外不堪行。
婉约,花过雨，又是一番红素。燕子归来愁不语，旧巢无觅处。谁在玉关劳苦？谁在玉楼歌舞？若使胡尘吹得去，东风侯万户。
婉约,何处合成愁。离人心上秋。纵芭蕉、不雨也飕飕。都道晚凉天气好，有明月，怕登楼。年事梦中休。花空烟水流。燕辞归、客尚淹留。垂柳不萦裙带住，漫长是，系行舟。
豪放,同父见和，再用前韵答之。老大那堪说。似而今、元龙臭味，孟公瓜葛。我病君来高歌饮，惊散楼头飞雪。笑富贵千钧
